"","x"
"511","4"
"512","8"
"513","2"
"514","5"
"515","6"
"516","5"
"517","4"
"518","1"
"519","3"
"520","9"
"521","1"
"522","0"
"523","8"
"524","5"
"525","2"
"526","6"
"527","2"
"528","3"
"529","0"
"530","8"
"531","4"
"532","4"
"533","1"
"534","3"
"535","4"
"536","3"
"537","4"
"538","5"
"539","1"
"540","0"
"541","2"
"542","2"
"543","0"
"544","9"
"545","6"
"546","6"
"547","9"
"548","4"
"549","1"
"550","7"
"551","0"
"552","0"
"553","4"
"554","2"
"555","9"
"556","3"
"557","2"
"558","5"
"559","9"
"560","4"
"561","0"
"562","6"
"563","2"
"564","7"
"565","7"
"566","7"
"567","7"
"568","9"
"569","1"
"570","4"
"571","2"
"572","5"
"573","1"
"574","8"
"575","5"
"576","7"
"577","8"
"578","8"
"579","7"
"580","5"
"581","6"
"582","0"
"583","9"
"584","1"
"585","0"
"586","5"
"587","0"
"588","7"
"589","0"
"590","3"
"591","9"
"592","4"
"593","9"
"594","8"
"595","6"
"596","9"
"597","2"
"598","5"
"599","6"
"600","9"
"601","0"
"602","2"
"603","8"
"604","2"
"605","9"
"606","0"
"607","2"
"608","3"
"609","1"
"610","2"
"611","2"
"612","6"
"613","6"
"614","6"
"615","2"
"616","0"
"617","4"
"618","1"
"619","7"
"620","9"
"621","4"
"622","4"
"623","1"
"624","4"
"625","9"
"626","5"
"627","4"
"628","6"
"629","0"
"630","5"
"631","4"
"632","9"
"633","9"
"634","0"
"635","0"
"636","6"
"637","2"
"638","5"
"639","7"
"640","5"
"641","3"
"642","6"
"643","2"
"644","1"
"645","0"
"646","6"
"647","0"
"648","2"
"649","1"
"650","3"
"651","8"
"652","1"
"653","4"
"654","4"
"655","1"
"656","4"
"657","9"
"658","3"
"659","2"
"660","5"
"661","1"
"662","9"
"663","2"
"664","5"
"665","7"
"666","6"
"667","5"
"668","6"
"669","6"
"670","4"
"671","6"
"672","5"
"673","5"
"674","2"
"675","2"
"676","9"
"677","7"
"678","8"
"679","2"
"680","4"
"681","0"
"682","7"
"683","8"
"684","0"
"685","6"
"686","0"
"687","7"
"688","9"
"689","6"
"690","1"
"691","4"
"692","3"
"693","9"
"694","1"
"695","9"
"696","5"
"697","1"
"698","6"
"699","5"
"700","3"
"701","1"
"702","2"
"703","1"
"704","5"
"705","4"
"706","4"
"707","8"
"708","4"
"709","6"
"710","7"
"711","8"
"712","7"
"713","1"
"714","5"
"715","2"
"716","2"
"717","2"
"718","0"
"719","9"
"720","2"
"721","4"
"722","1"
"723","8"
"724","1"
"725","2"
"726","9"
"727","1"
"728","9"
"729","6"
"730","4"
"731","6"
"732","6"
"733","3"
"734","1"
"735","8"
"736","9"
"737","5"
"738","2"
"739","7"
"740","7"
"741","4"
"742","8"
"743","1"
"744","7"
"745","2"
"746","7"
"747","4"
"748","0"
"749","1"
"750","6"
"751","3"
"752","5"
"753","9"
"754","9"
"755","2"
"756","1"
"757","0"
"758","0"
"759","5"
"760","8"
"761","1"
"762","5"
"763","7"
"764","9"
"765","7"
"766","6"
"767","8"
"768","9"
"769","1"
"770","1"
"771","5"
"772","4"
"773","4"
"774","9"
"775","6"
"776","5"
"777","6"
"778","4"
"779","1"
"780","1"
"781","2"
"782","5"
"783","6"
"784","9"
"785","1"
"786","8"
"787","6"
"788","3"
"789","4"
"790","3"
"791","2"
"792","2"
"793","1"
"794","9"
"795","8"
"796","0"
"797","3"
"798","0"
"799","1"
"800","9"
"801","7"
"802","6"
"803","9"
"804","9"
"805","7"
"806","4"
"807","8"
"808","6"
"809","2"
"810","4"
"811","2"
"812","3"
"813","2"
"814","8"
"815","4"
"816","2"
"817","3"
"818","5"
"819","4"
"820","4"
"821","7"
"822","3"
"823","6"
"824","9"
"825","2"
"826","0"
"827","7"
"828","5"
"829","9"
"830","3"
"831","9"
"832","6"
"833","6"
"834","6"
"835","9"
"836","7"
"837","7"
"838","1"
"839","1"
"840","0"
"841","4"
"842","0"
"843","2"
"844","8"
"845","4"
"846","4"
"847","2"
"848","9"
"849","2"
"850","0"
"851","6"
"852","3"
"853","8"
"854","5"
"855","7"
"856","6"
"857","2"
"858","8"
"859","4"
"860","5"
"861","5"
"862","6"
"863","9"
"864","9"
"865","3"
"866","4"
"867","9"
"868","3"
"869","5"
"870","3"
"871","1"
"872","4"
"873","3"
"874","9"
"875","7"
"876","0"
"877","6"
"878","8"
"879","5"
"880","9"
"881","3"
"882","4"
"883","7"
"884","5"
"885","9"
"886","7"
"887","5"
"888","0"
"889","2"
"890","0"
"891","5"
"892","7"
"893","5"
"894","0"
"895","2"
"896","0"
"897","2"
"898","5"
"899","6"
"900","0"
"901","8"
"902","5"
"903","6"
"904","5"
"905","9"
"906","7"
"907","2"
"908","6"
"909","6"
"910","2"
"911","6"
"912","0"
"913","8"
"914","5"
"915","9"
"916","4"
"917","5"
"918","5"
"919","6"
"920","5"
"921","1"
"922","9"
"923","7"
"924","0"
"925","9"
"926","1"
"927","9"
"928","1"
"929","1"
"930","6"
"931","4"
"932","3"
"933","1"
"934","9"
"935","3"
"936","4"
"937","1"
"938","5"
"939","5"
"940","2"
"941","4"
"942","5"
"943","3"
"944","6"
"945","2"
"946","1"
"947","6"
"948","3"
"949","0"
"950","2"
"951","0"
"952","2"
"953","8"
"954","6"
"955","2"
"956","6"
"957","7"
"958","4"
"959","3"
"960","7"
"961","6"
"962","2"
"963","2"
"964","8"
"965","5"
"966","8"
"967","1"
"968","0"
"969","5"
"970","4"
"971","9"
"972","2"
"973","9"
"974","1"
"975","9"
"976","2"
"977","0"
"978","6"
"979","6"
"980","8"
"981","3"
"982","4"
"983","6"
"984","4"
"985","2"
"986","1"
"987","1"
"988","6"
"989","7"
"990","3"
"991","6"
"992","4"
"993","6"
"994","5"
"995","5"
"996","3"
"997","0"
"998","0"
"999","1"
"1000","1"
